station,natural_missing_rate,natural_missing_count
001013,0.0626783879438292,549
001003,0.06359173421623474,557
001030,0.06450508048864026,565
001009,0.06987098983902272,612
001006,0.07067016782737756,619
001023,0.07329603836054344,642
001012,0.0737527114967462,646
001015,0.07478022605320242,655
001024,0.07523689918940518,659
001020,0.0836853522091563,733
001027,0.09144879552460326,801
001022,0.10229478250941888,896
001007,0.1058339993149903,927
001029,0.13814362370133576,1210
001025,0.14088366251855233,1234
001005,0.14236785021121132,1247
001010,0.14339536476766754,1256
001004,0.1438520379038703,1260
001031,0.1462495718689348,1281
001017,0.14887544240210068,1304
001002,0.15047379837881036,1318
001026,0.15070213494691176,1320
001028,0.15093047151501313,1322
001018,0.15458385660463522,1354
001033,0.15583970772919284,1365
001001,0.15652471743349697,1371
001014,0.1658865167256536,1453
001016,0.1658865167256536,1453
001021,0.16862655554287018,1477
001011,0.1734216234729992,1519
001032,0.1795867108117365,1573
001019,0.18415344217376411,1613
001034,0.19088937093275488,1672
001036,0.19294440004566732,1690
001008,0.2005936750770636,1757
001035,0.21246717661833542,1861
