method,method_label,channel_index,channel,mean_neighbor_jaccard,median_neighbor_jaccard,min_neighbor_jaccard
raw_pearson,原值 Pearson Top-8,0,channel_1,0.25585525585525587,0.23076923076923078,0.14285714285714285
raw_pearson,原值 Pearson Top-8,1,channel_2,0.28564768564768567,0.18681318681318682,0.14285714285714285
raw_pearson,原值 Pearson Top-8,2,channel_3,0.3027417027417027,0.23809523809523808,0.14285714285714285
raw_pearson,原值 Pearson Top-8,3,channel_4,0.5555555555555556,0.5555555555555556,0.3333333333333333
raw_pearson,原值 Pearson Top-8,4,channel_5,0.5367003367003368,0.5272727272727272,0.3333333333333333
raw_pearson,原值 Pearson Top-8,5,channel_6,0.7777777777777778,0.7777777777777778,0.7777777777777778
raw_pearson,原值 Pearson Top-8,6,channel_7,0.7777777777777778,0.7777777777777778,0.7777777777777778
raw_pearson,原值 Pearson Top-8,7,channel_8,0.725925925925926,0.6888888888888889,0.6
raw_pearson,原值 Pearson Top-8,8,channel_9,0.725925925925926,0.6888888888888889,0.6
raw_pearson,原值 Pearson Top-8,9,channel_10,0.635016835016835,0.6,0.45454545454545453
raw_pearson,原值 Pearson Top-8,10,channel_11,0.8148148148148149,0.7777777777777778,0.7777777777777778
raw_pearson,原值 Pearson Top-8,11,channel_12,0.5193473193473194,0.5272727272727272,0.23076923076923078
raw_pearson,原值 Pearson Top-8,12,channel_13,0.5905723905723905,0.6,0.3333333333333333
raw_pearson,原值 Pearson Top-8,13,channel_14,0.4181818181818182,0.3939393939393939,0.3333333333333333
raw_pearson,原值 Pearson Top-8,14,channel_15,0.5266585266585266,0.5042735042735043,0.14285714285714285
raw_pearson,原值 Pearson Top-8,15,channel_16,0.6962962962962963,0.6,0.6
raw_pearson,原值 Pearson Top-8,16,channel_17,0.7555555555555555,0.7777777777777778,0.6
raw_pearson,原值 Pearson Top-8,17,channel_18,0.6646464646464646,0.6888888888888889,0.45454545454545453
raw_pearson,原值 Pearson Top-8,18,channel_19,0.6962962962962963,0.6,0.6
raw_pearson,原值 Pearson Top-8,19,channel_20,0.6646464646464646,0.6888888888888889,0.45454545454545453
raw_pearson,原值 Pearson Top-8,20,channel_21,0.4181818181818182,0.3939393939393939,0.3333333333333333
raw_pearson,原值 Pearson Top-8,21,channel_22,0.4896214896214896,0.5042735042735043,0.14285714285714285
raw_pearson,原值 Pearson Top-8,22,channel_23,0.5266585266585266,0.5042735042735043,0.14285714285714285
raw_pearson,原值 Pearson Top-8,23,channel_24,0.6962962962962963,0.6,0.6
