left_index,right_index,left_channel,right_channel,edge,raw_pearson,abs_raw_pearson,diff_pearson,abs_diff_pearson,spearman,abs_spearman,in_diff_top8_union,in_spearman_top8_union,left_update_fraction,right_update_fraction,min_update_fraction,raw_only_suspect
61,62,channel_62,channel_63,channel_62 ↔ channel_63,0.9999802112579346,0.9999802112579346,0.9999144077301025,0.9999144077301025,0.9999165534973145,0.9999165534973145,True,True,0.03327823539955677,0.03327823539955677,0.03327823539955677,False
63,64,channel_64,channel_65,channel_64 ↔ channel_65,0.9999028444290161,0.9999028444290161,0.9993064999580383,0.9993064999580383,0.0320972315967083,0.0320972315967083,True,True,0.20059229430104725,0.20059229430104725,0.20059229430104725,False
7,8,channel_8,channel_9,channel_8 ↔ channel_9,0.99966961145401,0.99966961145401,0.997955322265625,0.997955322265625,1.0,1.0,True,True,0.19985035632034068,0.19985035632034068,0.19985035632034068,False
63,67,channel_64,channel_68,channel_64 ↔ channel_68,0.9995550513267517,0.9995550513267517,0.9971503019332886,0.9971503019332886,0.0051878648810088634,0.0051878648810088634,True,True,0.20059229430104725,0.20059229430104725,0.20059229430104725,False
64,67,channel_65,channel_68,channel_65 ↔ channel_68,0.9995158910751343,0.9995158910751343,0.9968572854995728,0.9968572854995728,-0.0003924944903701544,0.0003924944903701544,True,False,0.20059229430104725,0.20059229430104725,0.20059229430104725,False
4,6,channel_5,channel_7,channel_5 ↔ channel_7,0.9991983771324158,0.9991983771324158,0.9981064796447754,0.9981064796447754,0.8660272359848022,0.8660272359848022,True,True,0.19985035632034068,0.19985035632034068,0.19985035632034068,False
63,68,channel_64,channel_69,channel_64 ↔ channel_69,0.998828649520874,0.998828649520874,0.9942843914031982,0.9942843914031982,-0.0038852388970553875,0.0038852388970553875,True,False,0.20059229430104725,0.20059229430104725,0.20059229430104725,False
64,68,channel_65,channel_69,channel_65 ↔ channel_69,0.998791515827179,0.998791515827179,0.9939890503883362,0.9939890503883362,-0.004540957044810057,0.004540957044810057,True,True,0.20059229430104725,0.20059229430104725,0.20059229430104725,False
63,66,channel_64,channel_67,channel_64 ↔ channel_67,0.9985811114311218,0.9985811114311218,0.9933604001998901,0.9933604001998901,0.0006357977399602532,0.0006357977399602532,True,False,0.20059229430104725,0.20059229430104725,0.20059229430104725,False
64,66,channel_65,channel_67,channel_65 ↔ channel_67,0.9985404014587402,0.9985404014587402,0.9930667877197266,0.9930667877197266,-0.000623555388301611,0.000623555388301611,True,False,0.20059229430104725,0.20059229430104725,0.20059229430104725,False
67,68,channel_68,channel_69,channel_68 ↔ channel_69,0.9984673857688904,0.9984673857688904,0.9918764233589172,0.9918764233589172,-0.023881513625383377,0.023881513625383377,True,False,0.20059229430104725,0.20059229430104725,0.20059229430104725,False
66,67,channel_67,channel_68,channel_67 ↔ channel_68,0.9984036087989807,0.9984036087989807,0.9913849830627441,0.9913849830627441,0.10948244482278824,0.10948244482278824,True,True,0.20059229430104725,0.20059229430104725,0.20059229430104725,False
32,39,channel_33,channel_40,channel_33 ↔ channel_40,0.9982696175575256,0.9982696175575256,0.0045669241808354855,0.0045669241808354855,0.9977162480354309,0.9977162480354309,True,True,0.3349949281384435,0.3349949281384435,0.3349949281384435,False
