eligible_windows,active_windows,active_window_fraction,median_spectral_entropy,median_top3_power_share,median_dominant_period_seconds,dominant_period_iqr_octaves,dominant_period_stability,median_peak_to_median_power,boundary_peak_fraction,median_high_frequency_share,median_update_fraction,channel_id,channel,horizon_steps,window_minutes,value_type,differenced,periodicity_score,candidate_periodic,strong_periodic
96,1,0.010416666666666666,0.5306495067554039,0.7547138064610222,1440.0,0.0,1.0,187.83148964281023,0.0,0.011459509313340588,0.3333333333333333,1,channel_1,96,48.0,continuous,False,0.0036898468470936184,False,False
96,1,0.010416666666666666,0.5540993558709342,0.7260619329970217,1440.0,0.0,1.0,161.93792596203863,0.0,0.012937971956584492,0.3333333333333333,2,channel_2,96,48.0,continuous,False,0.0033724112875100688,False,False
96,6,0.0625,0.4624690495930622,0.7814849516029613,1440.0,0.75,0.6666666666666666,466.59081837255206,0.3333333333333333,0.006079421500999816,0.3333333333333333,3,channel_3,96,48.0,continuous,False,0.011668676354551656,False,False
96,0,0.0,,,,,0.0,,,,,4,channel_4,96,48.0,continuous,True,,False,False
96,0,0.0,,,,,0.0,,,,,5,channel_5,96,48.0,continuous,True,,False,False
96,0,0.0,,,,,0.0,,,,,6,channel_6,96,48.0,continuous,True,,False,False
96,0,0.0,,,,,0.0,,,,,7,channel_7,96,48.0,continuous,True,,False,False
96,0,0.0,,,,,0.0,,,,,8,channel_8,96,48.0,discrete_like,True,,False,False
96,0,0.0,,,,,0.0,,,,,9,channel_9,96,48.0,discrete_like,True,,False,False
96,0,0.0,,,,,0.0,,,,,10,channel_10,96,48.0,discrete_like,True,,False,False
96,0,0.0,,,,,0.0,,,,,11,channel_11,96,48.0,discrete_like,True,,False,False
95,95,1.0,0.7921171061358524,0.32395422726540923,720.0,2.8073549220576037,0.06315789473684211,18.513752106378686,0.2631578947368421,0.0607364117395439,0.3333333333333333,12,channel_12,96,48.0,continuous,False,0.003134039639030687,False,False
95,95,1.0,0.7802144745079003,0.34138865391478945,960.0,1.584962500721156,0.09473684210526316,20.2948614744295,0.24210526315789474,0.0602197351566239,0.3333333333333333,13,channel_13,96,48.0,continuous,False,0.0053873596104278415,False,False
