channel_id,channel,value_type,differenced,near_constant,clean_unique_count,normalization_scale,global_train_update_fraction,global_train_observed_fraction
1,channel_1,continuous,False,False,4118,0.005979114239801217,0.3527086113407895,1.0
2,channel_2,continuous,False,False,2638,0.015045837561219029,0.3527086113407895,1.0
3,channel_3,continuous,False,False,25526,0.016415368746506488,0.3527086113407895,1.0
4,channel_4,continuous,True,False,78,1.2715392991780073e-06,0.20036607021492334,1.0
5,channel_5,continuous,True,False,68,1.381244345397929e-06,0.20036607021492334,1.0
6,channel_6,continuous,True,False,94,1.475554718546555e-06,0.20036607021492334,1.0
7,channel_7,continuous,True,False,71,1.355698610674728e-06,0.20036607021492334,1.0
8,channel_8,discrete_like,True,False,57,4.5551752761915776e-07,0.20036607021492334,1.0
9,channel_9,discrete_like,True,False,59,4.495365713189006e-07,0.20036607021492334,1.0
10,channel_10,discrete_like,True,False,42,3.183547041659039e-07,0.20036607021492334,1.0
11,channel_11,discrete_like,True,False,16,1.0411871432176443e-07,0.20036607021492334,1.0
12,channel_12,continuous,False,False,88,0.03973688822539067,0.3344193588380265,0.9993547126413993
13,channel_13,continuous,False,False,87,0.0394339192121794,0.3344193588380265,0.9993547126413993
14,channel_14,continuous,False,False,167,0.05823788084888009,0.3344193588380265,0.9993547126413993
15,channel_15,continuous,False,False,146,0.04756197526162417,0.3344193588380265,0.9993547126413993
16,channel_16,continuous,False,False,133,0.06967185584315765,0.3344193588380265,0.9993547126413993
17,channel_17,continuous,False,False,97,0.040173096061681624,0.3344193588380265,0.9993547126413993
18,channel_18,continuous,False,False,100,0.03902695577113579,0.3344193588380265,0.9993547126413993
19,channel_19,continuous,False,False,112,0.04459294073720983,0.3344193588380265,0.9993547126413993
20,channel_20,continuous,False,False,90,0.04010460317008251,0.3344193588380265,0.9993547126413993
21,channel_21,continuous,False,False,172,0.059305502637264404,0.3344193588380265,0.9993547126413993
22,channel_22,continuous,False,False,124,0.048121752232955256,0.3344193588380265,0.9993547126413993
23,channel_23,continuous,False,False,143,0.04742153706084551,0.3344193588380265,0.9993547126413993
24,channel_24,continuous,False,False,132,0.06963061369542559,0.3344193588380265,0.9993547126413993
25,channel_25,continuous,False,False,96,0.03897329912831632,0.3344193588380265,0.9993547126413993
26,channel_26,continuous,False,False,94,0.03841708797125029,0.3344193588380265,0.9993547126413993
27,channel_27,continuous,False,False,94,0.04173399166486504,0.3344193588380265,0.9993547126413993
28,channel_28,continuous,False,False,110,0.04352017878635185,0.3344193588380265,0.9993547126413993
29,channel_29,continuous,False,False,152,0.05429034788893067,0.3344193588380265,0.9993547126413993
30,channel_30,continuous,False,False,133,0.05258358475171158,0.3344193588380265,0.9993547126413993
31,channel_31,continuous,False,False,125,0.04821729491260853,0.3344193588380265,0.9993547126413993
32,channel_32,continuous,False,False,133,0.0697346629344783,0.3344193588380265,0.9993547126413993
33,channel_33,continuous,False,False,134,0.07005244081932943,0.3344193588380265,0.9993547126413993
34,channel_34,continuous,False,False,86,0.038657315812205245,0.3344193588380265,0.9993547126413993
35,channel_35,continuous,False,False,99,0.03870505156553249,0.3344193588380265,0.9993547126413993
36,channel_36,continuous,False,False,107,0.04432324452377394,0.3344193588380265,0.9993547126413993
37,channel_37,continuous,False,False,99,0.041838448074643306,0.3344193588380265,0.9993547126413993
38,channel_38,continuous,False,False,133,0.05264558545601764,0.3344193588380265,0.9993547126413993
39,channel_39,continuous,False,False,128,0.04930122731355682,0.3344193588380265,0.9993547126413993
40,channel_40,continuous,False,False,134,0.07011472077466813,0.3344193588380265,0.9993547126413993
41,channel_41,discrete_like,False,False,39,0.004957529625268038,0.9980990366723378,0.9993551200197823
42,channel_42,continuous,False,False,65,0.006932546173882301,0.9980990366723378,0.9993551200197823
43,channel_43,discrete_like,False,False,40,0.004949894721654765,0.9980990366723378,0.9993551200197823
44,channel_44,discrete_like,False,False,54,0.005923534728238991,0.9980990366723378,0.9993551200197823
45,channel_45,discrete_like,False,False,42,0.005591313193850494,0.9980990366723378,0.9993551200197823
46,channel_46,discrete_like,False,False,63,0.006896792346140438,0.9980990366723378,0.9993551200197823
47,channel_47,discrete_like,False,False,57,3.4568483567454036e-05,0.9980008584820457,0.9993551200197823
48,channel_48,discrete_like,False,False,54,3.279129428450292e-05,0.9980008584820457,0.9993551200197823
49,channel_49,discrete_like,False,False,54,3.360361681932525e-05,0.9980008584820457,0.9993551200197823
50,channel_50,discrete_like,False,False,56,0.014527060827027765,0.3336775228026655,0.9993551200197823
51,channel_51,discrete_like,False,False,54,0.013778317763408925,0.3336775228026655,0.9993551200197823
52,channel_52,discrete_like,False,False,54,0.014117934530185904,0.3336775228026655,0.9993551200197823
53,channel_53,discrete_like,False,False,5,0.1497520938501831,0.9980058828154355,1.0
54,channel_54,discrete_like,False,False,5,0.08089712505002769,0.9980058828154355,1.0
55,channel_55,discrete_like,False,False,5,0.11378974160431692,0.9980058828154355,1.0
56,channel_56,discrete_like,False,False,5,0.09601784058909388,0.9980058828154355,1.0
57,channel_57,continuous,False,False,88,0.019895405898786866,0.9980058828154355,0.9993552558125766
58,channel_58,continuous,False,False,87,0.019928581641407556,0.9980058828154355,0.9993552558125766
59,channel_59,continuous,False,False,86,0.01974620855142946,0.9980058828154355,0.9993552558125766
60,channel_60,continuous,False,False,86,0.019712103542565543,0.9980058828154355,0.9993552558125766
61,channel_61,continuous,False,False,853,0.34523794314167405,0.03325742063488291,1.0
62,channel_62,continuous,False,False,852,0.3290046113991155,0.03325742063488291,1.0
63,channel_63,continuous,False,False,852,0.14259821718934879,0.03325742063488291,1.0
64,channel_64,discrete_like,False,False,4,1.8050691203620898e-05,0.19377577432106657,1.0
