channel_id,channel,horizon_steps,window_minutes,window_index,window_start,nominal_fraction,active,spectral_entropy,top3_power_share,dominant_period_seconds,peak_to_median_power,boundary_peak,high_frequency_share,update_fraction
1,channel_1,96,48.0,0,0,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,1,77516,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,2,155033,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,3,232549,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,4,310066,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,5,387582,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,6,465099,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,7,542615,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,8,620132,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,9,697648,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,10,775165,1.0,False,1.3540105833024301e-07,0.9999999776171599,2880.0,0.11093850252774111,True,5.968757231073292e-09,0.3333333333333333
1,channel_1,96,48.0,11,852681,1.0,True,0.5306495067554039,0.7547138064610222,1440.0,187.83148964281023,False,0.011459509313340588,0.3333333333333333
