month,timepoints,anomaly_count,rare_count,abnormal_count,abnormal_rate,affected_timepoints,affected_timepoint_rate
2000-01,89279,0,0,0,0.0,0,0.0
2000-02,83520,0,3463,3463,0.006910520434227331,655,0.007842432950191571
2000-03,89280,29670,0,29670,0.05538754480286738,4945,0.05538754480286738
2000-04,86400,33870,0,33870,0.06533564814814814,5645,0.06533564814814814
2000-05,89280,0,0,0,0.0,0,0.0
2000-06,86400,1658,0,1658,0.0031983024691358023,290,0.0033564814814814816
2000-07,89280,0,8525,8525,0.015914351851851853,1421,0.01591621863799283
2000-08,89280,0,0,0,0.0,0,0.0
2000-09,86400,0,0,0,0.0,0,0.0
2000-10,89280,18195,276,18471,0.03448140681003584,3468,0.038844086021505374
2000-11,1,0,0,0,0.0,0,0.0
