record 1/799 index=200 train=5 eval=43 loss=none
record 2/799 index=2861 train=32 eval=282 loss=none
record 3/799 index=610 train=34 eval=303 loss=none
record 4/799 index=1918 train=46 eval=411 loss=none
record 5/799 index=3561 train=35 eval=309 loss=none
record 6/799 index=3391 train=41 eval=366 loss=none
record 7/799 index=893 train=46 eval=408 loss=none
record 8/799 index=2115 train=31 eval=270 loss=none
record 9/799 index=1044 train=44 eval=390 loss=none
record 10/799 index=1792 train=50 eval=449 loss=none
record 11/799 index=102 train=41 eval=364 loss=none
record 12/799 index=2336 train=35 eval=313 loss=none
record 13/799 index=3704 train=34 eval=302 loss=none
record 14/799 index=941 train=25 eval=222 loss=none
record 15/799 index=2325 train=21 eval=186 loss=none
record 16/799 index=3906 train=41 eval=361 loss=none
record 17/799 index=420 train=34 eval=301 loss=none
record 18/799 index=1164 train=37 eval=329 loss=none
record 19/799 index=2097 train=32 eval=285 loss=none
record 20/799 index=2745 train=32 eval=280 loss=none
record 21/799 index=779 train=32 eval=284 loss=none
record 22/799 index=3214 train=34 eval=303 loss=none
record 23/799 index=3167 train=40 eval=355 loss=none
record 24/799 index=557 train=35 eval=310 loss=none
record 25/799 index=1552 train=36 eval=316 loss=none
record 26/799 index=351 train=36 eval=321 loss=none
record 27/799 index=230 train=39 eval=343 loss=none
record 28/799 index=2510 train=32 eval=282 loss=none
record 29/799 index=3365 train=30 eval=261 loss=none
record 30/799 index=3105 train=27 eval=238 loss=none
record 31/799 index=1507 train=31 eval=275 loss=none
record 32/799 index=700 train=27 eval=241 loss=none
record 33/799 index=349 train=39 eval=348 loss=none
record 34/799 index=3778 train=29 eval=260 loss=none
record 35/799 index=280 train=29 eval=254 loss=none
record 36/799 index=1805 train=31 eval=270 loss=none
record 37/799 index=630 train=27 eval=236 loss=none
record 38/799 index=1751 train=37 eval=326 loss=none
record 39/799 index=1249 train=36 eval=316 loss=none
record 40/799 index=1236 train=31 eval=277 loss=none
record 41/799 index=1163 train=38 eval=339 loss=none
record 42/799 index=1846 train=30 eval=261 loss=none
record 43/799 index=2929 train=32 eval=284 loss=none
record 44/799 index=1766 train=46 eval=408 loss=none
record 45/799 index=2248 train=27 eval=241 loss=none
record 46/799 index=2430 train=29 eval=253 loss=none
record 47/799 index=2395 train=36 eval=321 loss=none
record 48/799 index=3433 train=35 eval=312 loss=none
record 49/799 index=2774 train=41 eval=368 loss=none
record 50/799 index=1435 train=33 eval=289 loss=none
record 51/799 index=1938 train=36 eval=316 loss=none
record 52/799 index=368 train=31 eval=270 loss=none
record 53/799 index=709 train=32 eval=286 loss=none
record 54/799 index=2950 train=47 eval=418 loss=none
record 55/799 index=435 train=31 eval=270 loss=none
record 56/799 index=1123 train=33 eval=294 loss=none
record 57/799 index=2429 train=26 eval=229 loss=none
record 58/799 index=1729 train=29 eval=257 loss=none
record 59/799 index=705 train=31 eval=276 loss=none
record 60/799 index=3601 train=38 eval=337 loss=none
record 61/799 index=2743 train=30 eval=266 loss=none
record 62/799 index=1145 train=34 eval=305 loss=none
record 63/799 index=587 train=29 eval=257 loss=none
record 64/799 index=1074 train=36 eval=320 loss=none
record 65/799 index=2977 train=37 eval=330 loss=none
record 66/799 index=3172 train=35 eval=307 loss=none
record 67/799 index=749 train=34 eval=304 loss=none
record 68/799 index=3420 train=31 eval=270 loss=none
record 69/799 index=292 train=38 eval=340 loss=none
record 70/799 index=2369 train=35 eval=312 loss=none
record 71/799 index=1489 train=30 eval=261 loss=none
record 72/799 index=1720 train=36 eval=323 loss=none
record 73/799 index=1215 train=35 eval=307 loss=none
